acousticness,danceability,instrumentalness,liveness,speechiness,valence,energy,track_id,name
0.0533,0.724,0.704,0.0886,0.0534,0.0683,0.618,2l3dFxtoSMgMQVyRIUHjpz,Akhiyaan
0.156,0.935,0.0,0.425,0.31,0.884,0.519,4F3AZKEJubvPsl0hBArVBW,Se Acabo (feat. Method Man) - Remix
0.138,0.763,0.0,0.08270000000000001,0.113,0.587,0.733,65tIJClJx8fHo6YW4wVDhi,Suçlarımdan Biri
0.0374,0.864,0.0,0.374,0.436,0.647,0.47600000000000003,1vrFJDrysqmsNAgyjBzx4f,F.N.F. (Let's Go)
0.723,0.418,0.0,0.107,0.0322,0.363,0.229,7th706Tw7ByAqOR9FMWXLg,Rumah Singgah
0.029900000000000003,0.792,0.0,0.11900000000000001,0.334,0.638,0.647,7B4uYqxTpTOS1sgxFB9Ann,The Last Ride
9.93e-05,0.34800000000000003,9.679999999999999e-06,0.0868,0.124,0.377,0.9500000000000001,0MnTkIEP4zZN1IUSu8MvIz,Tek It - Sped Up
0.392,0.734,0.0,0.11,0.0346,0.58,0.529,5z5fzo9PyIehwSyRqT4ogl,Jhoom
0.515,0.869,3.2200000000000003e-05,0.0395,0.0896,0.96,0.843,1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix
0.0789,0.377,0.00034199999999999996,0.125,0.029900000000000003,0.267,0.558,3L3G4XFQqtFe9a3azMacZ5,Good Looking
0.0901,0.911,2.6800000000000004e-05,0.09330000000000001,0.08170000000000001,0.425,0.712,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito
0.0108,0.8160000000000001,0.44,0.0779,0.105,0.28200000000000003,0.9520000000000001,3afAUVkCzAtkjiDxrtq6K1,Sufriendo
0.0993,0.65,0.00029099999999999997,0.126,0.253,0.187,0.715,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó
0.234,0.6950000000000001,0.0,0.081,0.317,0.5750000000000001,0.636,2rurDawMfoKP4uHyb2kJBt,Te Felicito
0.434,0.738,0.0,0.13,0.0393,0.5750000000000001,0.599,1w3exvIgbRFV2ijf6qyWm8,Everybody Hurts
0.0826,0.704,0.000745,0.0546,0.0475,0.8250000000000001,0.797,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried
0.054200000000000005,0.862,2.96e-05,0.117,0.267,0.512,0.506,5h1Zdr8ghV5RaWjtdfVo8w,Konum Gizli (feat. Murda)
0.845,0.599,2.4300000000000005e-05,0.11,0.0308,0.168,0.135,6GWchpKWsKkwR6jcl0yG6V,Pyaar Ke Pal
0.0159,0.513,0.0,0.0712,0.508,0.503,0.974,2KBYPTSTHjYYOPACrFTkPy,Punk Tactics
0.342,0.52,0.00101,0.311,0.0557,0.662,0.731,4Dvkj6JhhA12EX05fT7y2e,As It Was
0.677,0.673,0.0,0.293,0.182,0.656,0.56,0hzC5kZ6qKZJ9ybyW75VV8,Desde Mis Ojos - Remix
0.0995,0.836,0.0,0.335,0.0656,0.722,0.743,1PckUlxKqWQs3RlWXVBLw3,About Damn Time
0.0626,0.855,0.0187,0.268,0.0516,0.9480000000000001,0.72,01EzG8Qg7oQqYMTNV5YkOW,Cochinae
